publication_number	year
US-20180116992-A1	2017
US-20170038365-A1	2016
US-20160067242-A1	2014
US-20130172397-A1	2011
US-20170311597-A1	2015
US-20180318405-A1	2015
US-20180209956-A1	2016
US-20130090355-A1	2011
US-20160002201-A1	2013
US-20170121318-A1	2016
US-20160194306-A1	2016
US-20160113914-A1	2015
US-20180000778-A1	2016
US-20180065965-A1	2017
US-20150291521-A1	2013
US-20130225694-A1	2013
US-20160046596-A1	2014
US-20160016916-A1	2014
US-20170304392-A1	2015
US-20120202806-A1	2010
US-20120277224-A1	2012
US-20160220572-A1	2016
US-20160304533-A1	2016
US-20170165285-A1	2017
US-20170042857-A1	2014
US-20180118665-A1	2017
US-20180344738-A1	2018
US-20120196853-A1	2010
US-20160264616-A1	2016
US-20140080843-A1	2013
US-20180092866-A1	2016
US-20140128392-A1	2010
US-20170182047-A9	2012
US-20180162851-A1	2016
US-20150246908-A1	2013
US-20170189405-A1	2015
US-20160052904-A1	2014
US-20160221990-A1	2014
US-20160120863-A1	2014
US-20160031929-A1	2015
US-20180134727-A1	2016
US-20160130246-A1	2014
US-20150031679-A1	2014
US-20160237082-A1	2014
US-20170369443-A1	2017
US-20140023653-A1	2013
US-20160046602-A1	2015
US-20140294818-A1	2012
US-20140296307-A1	2014
US-20160122334-A1	2016
US-20160185740-A1	2014
US-20160340328-A1	2015
US-20160264560-A1	2014
US-20150329529-A1	2015
US-20120225863-A1	2012
US-20160145209-A1	2014
US-20120270250-A1	2010
US-20160244436-A1	2014
US-20130102639-A1	2012
US-20170056373-A1	2016
US-20120309728-A1	2010
US-20180127469-A1	2018
US-20130203686-A1	2013
US-20130252896-A1	2013
US-20160355563-A1	2016
US-20160136142-A1	2016
US-20160045572-A1	2014
US-20160200732-A1	2016
US-20150250769-A1	2015
US-20120214798-A1	2010
US-20120220589-A1	2012
US-20120225846-A1	2012
US-20140371291-A1	2013
US-20150274740-A1	2013
US-20170088546-A1	2015
US-20170158692-A1	2017
US-20180002275-A1	2016
US-20180086708-A1	2016
US-20180170926-A1	2016
US-20180186755-A1	2016
US-20180258132-A1	2018
US-20180371015-A1	2018
US-20120252792-A1	2010
US-20140221411-A1	2014
US-20150190391-A1	2013
US-20150284395-A1	2013
US-20170233405-A1	2017
US-20170340581-A1	2015
US-20180155330-A1	2017
US-20180215727-A1	2016
US-20180291035-A1	2018
US-20180362485-A1	2016
US-20140120098-A1	2013
US-20180071232-A1	2017
US-20180319783-A1	2016
US-20130084242-A1	2012
US-20170204071-A1	2015
US-20180134667-A1	2017
US-20180313843-A1	2016
US-20120122968-A1	2010
US-20130281389-A1	2013
US-20160264604-A1	2014
US-20170231967-A1	2017
US-20130261130-A1	2011
US-20170088523-A1	2015
US-20180079753-A1	2017
US-20180273529-A1	2016
US-20180354972-A1	2016
US-20130115624-A1	2011
US-20130123135-A1	2011
US-20170129921-A1	2016